Time (s),Rotation x (rad/s),Rotation y (rad/s),Rotation z (rad/s)
59.47142683,0.009285631,-0.093186095,-0.003235503
59.49138183,0.008548977,-0.086409211,-0.000241422
59.51133683,0.008722886,-0.079107314,-0.000725356
59.53129083,0.007686787,-0.069962658,-0.000727699
59.55124583,0.005041673,-0.057509545,-0.002415084
59.57119983,0.00860554,-0.046285596,-0.001554039
59.59115483,0.004478929,-0.036564332,-0.002153067
59.61110883,0.004132966,-0.024893578,-0.000673953
59.63106383,0.005409512,-0.01325362,0.000413355
59.65101783,0.006736256,-0.000172515,0.000547103
59.67097283,0.003108088,0.009308255,0.0004481
59.69092783,0.005938379,0.021409787,-0.001745893
59.71088183,0.002505503,0.031976584,0.000458758
59.73083683,0.001568571,0.044627678,0.001290687
59.75079083,-0.001042682,0.055492513,-0.000993503
59.77074583,0.000421015,0.062537171,0.000535443
59.79070083,-0.001866276,0.07461153,0.00021533
59.81065483,-0.003734371,0.083931357,-0.000587804
59.83060983,-0.004766637,0.095168777,0.00028037
59.85056383,-0.004610879,0.098431654,0.000218929
59.87051883,-0.010962116,0.107796811,0.000941334
59.89047283,-0.010536333,0.112341441,-0.000613431
59.91042854,-0.012321913,0.117763929,0.000305522
59.93038354,-0.013727443,0.122598514,0.002500337
59.95033754,-0.015112784,0.127769873,0.000815876
59.97029254,-0.015362704,0.127482116,0.00385556
59.99024654,-0.017291712,0.129856214,0.001665582
